content,a,b,c,d,correct_option
What majority is required to remove the Speaker of Lok Sabha?,Simple majority,Absolute majority,Two-thirds majority,Unanimous decision,C
"Find the figure that completes the series: ■, □, ■, □, ?",■,□,▲,○,A
"Which figure comes next in the series: ●, ◐, ◑, ●, ◐, ?",◑,●,○,◓,A
"If a number is divisible by both 3 and 4, which of the following must be true about the number?",It is divisible by 12,It is divisible by 7,It is divisible by 9,It is divisible by 6,A
Who is the current CEO of the Life Insurance Corporation of India (LIC)?,M R Kumar,Sandeep Bakhshi,Bhanu Pratap Sharma,Prashant Tripathi,A
Who has been appointed as the new Chairman and Managing Director of Bharat Petroleum Corporation Limited (BPCL)?,Arun Kumar Singh,Vineet Pandey,Sanjiv Singh,D Rajkumar,B
Who took charge as the new Director General of the Central Reserve Police Force (CRPF)?,Kuldiep Singh,A P Maheshwari,Manoj Kumar Mendiratta,R R Bhatnagar,A
Who was appointed as the new Chairman of the Securities and Exchange Board of India (SEBI)?,Ajay Tyagi,Madhabi Puri Buch,U K Sinha,G Mahalingam,B
What is the smallest positive integer divisible by both 7 and 8?,56,48,42,49,A
A number is divisible by 9 if the sum of its digits is divisible by which number?,9,7,8,11,A
Which of the following numbers is divisible by 11?,2728,2738,2748,2758,A
"If a number ends with 0, by which of the following is it definitely divisible?",10,7,9,8,A
Which of the following is a correct divisibility test for 7?,Double the last digit and subtract it from the rest of the number,Sum of digits is divisible by 7,Number ends in 7,Last three digits divisible by 7,A
Find the remainder when 345678 is divided by 9 using divisibility rules.,6,3,0,9,A
A 4-digit number is divisible by 8 if the number formed by its last three digits is divisible by what?,8,4,2,10,A
Which of the following numbers is divisible by 10 but not by 5?,No such number,40,50,30,A
The number 1234567 is divisible by 7 if which of the following is true?,Double the last digit and subtract it from the rest results in a number divisible by 7,Sum of digits is divisible by 7,Last digit is 7,Number ends with 0,A
Which of the following numbers is divisible by both 9 and 11?,2079,1980,2070,1989,D
"Given log₃ 81 = y, find the value of 3ʸ.",9,27,81,243,C
"If log₅ 125 = m, what is the value of 5ᵐ?",25,125,625,5,B
Find the value of 10ˣ if log₁₀ 0.01 = x.,0.01,100,0.1,10,A
"If log₇ 49 = a, calculate 7ᵃ.",7,14,49,343,C
"Given log₄ 1/64 = b, find 4ᵇ.",64,1/64,1/16,16,B
"If log₉ 27 = c, determine the value of 9ᶜ.",3,27,81,243,C
Find 2ˣ if x = log₂ (1/8).,1/8,8,1/4,4,A
"If log₁₀ 50 = y, what is the value of 10ʸ?",5,50,500,10,B
"Given log₆ 1 = z, find the value of 6ᶻ.",1,0,6,Undefined,A
Who is the current Chairperson of the National Bank for Agriculture and Rural Development (NABARD)?,Govinda Rajulu Chintala,Harsh Kumar Bhanwala,G R Chintala,Harsh Vardhan,C
Who has been named as the new CEO of Oil and Natural Gas Corporation (ONGC)?,Shashi Shanker,Subhash Kumar,Alok Kumar,Dinesh Kumar Sarraf,A
Who assumed charge as the Chairperson of the Telecom Regulatory Authority of India (TRAI)?,R S Sharma,P D Vaghela,Pradip Baijal,S P Kochhar,A
Who was appointed as the new Managing Director of the State Bank of India (SBI)?,Rajnish Kumar,Dinesh Kumar Khara,Arundhati Bhattacharya,Prashant Kumar,B
Who is the new Chairman of the Indian Space Research Organisation (ISRO)?,K Sivan,S Somnath,A S Kiran Kumar,M Annadurai,B
"A container full of milk is repeatedly diluted by removing 10 liters of mixture and replacing it with water each time. If the container initially holds 100 liters of pure milk, what is the quantity of milk left after two such operations?",81 liters,90 liters,72 liters,80 liters,A
A vessel contains 60 liters of pure juice. 6 liters are taken out and replaced with water. This process is repeated 3 times. What is the ratio of juice to water in the vessel after the third replacement?,64:27,125:49,27:64,49:125,B
What does IP stand for in the context of computer networks?,Internet Protocol,Internal Program,Internet Provider,Input Process,A
Which device is primarily used to connect multiple devices in a Local Area Network (LAN)?,Router,Switch,Modem,Firewall,B
What is the primary purpose of the Domain Name System (DNS) on the internet?,To translate domain names into IP addresses,To secure internet connections,To manage email servers,To control network traffic,A
Which protocol is commonly used to send emails over the Internet?,HTTP,SMTP,FTP,TCP,B
What does URL stand for in web terminology?,Uniform Resource Locator,Universal Resource Link,United Resource Locator,Uniform Reference Link,A
Which technology is used to assign IP addresses automatically to devices in a network?,DNS,DHCP,HTTP,ARP,B
Which of the following is a valid IPv4 address?,192.168.1.1,256.100.50.25,192.168.300.1,1234.56.78.90,A
"In networking, what does the term 'bandwidth' refer to?",Maximum data transfer rate of a network,The number of devices connected to a network,Type of network cable used,Physical distance between two network devices,A
What is the function of a firewall in a network?,To protect the network by filtering incoming and outgoing traffic,To connect different networks together,To assign IP addresses to devices,To store data for network users,A
In which year did India initiate the LPG economic reforms?,1991,1985,2000,1975,A
Which Indian Prime Minister is credited with initiating the LPG reforms?,P. V. Narasimha Rao,Rajiv Gandhi,Manmohan Singh,Atal Bihari Vajpayee,A
The main objective of the liberalization policy in India was to,reduce government control over the economy,increase import tariffs,strengthen public sector monopolies,limit foreign investments,A
Which sector was the first to be opened to Foreign Direct Investment (FDI) under the reforms?,Telecommunications,Agriculture,Defense,Education,A
What is the key feature of privatization in the Indian economic reforms?,Transfer of ownership from public to private sector,Increasing government subsidies to industries,Nationalization of private enterprises,Restricting foreign ownership,A
FDI policy reforms in India primarily aim to,attract foreign investment to boost economic growth,restrict foreign companies from entering Indian markets,reduce domestic competition,increase import duties,A
Which government body regulates FDI policies in India?,Department for Promotion of Industry and Internal Trade (DPIIT),Reserve Bank of India,Securities and Exchange Board of India,Ministry of Finance,A
Globalization in the context of Indian economic reforms primarily involves,integration of Indian economy with the world economy,isolating the Indian economy from global markets,restricting imports to protect domestic industries,nationalizing foreign companies,A
Eight friends are sitting in a row facing south. P is to the immediate left of Q. R is third to the right of P. S is at one of the ends. Who is sitting at the other end?,R,S,Q,P,A
Five people are sitting in a row facing north. A is to the immediate right of B. C is at the extreme right. Who is sitting in the middle?,A,B,C,Cannot be determined,D
Seven persons are sitting in a row facing north. X is sitting third to the left of Y. Y is second to the right of Z. Z is at one of the ends. Who is sitting at the other end?,X,Y,Z,Cannot be determined,A
Ten people are sitting in a row facing south. M is fourth to the left of N. N is seventh from the left end. Who is sitting at the extreme right end?,M,N,Cannot be determined,The person at 10th position,D
"Five persons A, B, C, D, and E are sitting in a row facing north. B is to the immediate left of C. A is to the immediate right of E. Who is sitting at the extreme right end?",C,D,A,E,B
Seven people are sitting in a row facing north. R is sitting second from the right end. T is sitting third to the left of R. S is third to the right of P. Who is sitting at the extreme left end?,T,S,P,Cannot be determined,D
"Six persons are sitting in a row facing north. If A is sitting third to the right of B, and C is immediate left of B, which position is A from the left end if B is fourth from the left?",First,Third,Seventh,Sixth,D
Nine persons are sitting in a row facing south. P is fourth to the right of Q. Q is third from the right end. How many persons are there to the left of P?,Five,Six,Seven,Four,B
Which of the following was a major challenge faced during the implementation of LPG reforms?,Resistance from trade unions and political groups,Lack of foreign interest in Indian markets,Excessive government subsidies,Surplus of domestic industries,A
Which of the following payment systems is primarily used for instant interbank electronic fund transfers in India?,NEFT,RTGS,IMPS,Cheque Clearing,C
What is the minimum amount required for a transaction via RTGS?,No minimum limit,₹1 lakh,"₹10,000","₹50,000",B
Which of the following systems settles transactions in batches at fixed intervals during the day?,IMPS,RTGS,NEFT,UPI,C
"Which payment system among the following operates 24x7, including bank holidays, for fund transfers?",NEFT,RTGS,IMPS,ECS,C
Which of the following is true about NEFT transactions?,They are settled in real-time continuously throughout the day.,They are processed in half-hourly batches during working hours.,They require a minimum amount of ₹1 lakh.,They can only be done through mobile apps.,B
RTGS transactions are primarily used for which type of transfers?,"Low-value transactions under ₹10,000",High-value transactions requiring immediate clearing,Only intra-bank transfers,International remittances,B
What type of angle is formed between a transversal and a pair of parallel lines when the angles are on opposite sides of the transversal and inside the parallel lines?,Alternate interior angles,Corresponding angles,Alternate exterior angles,Co-interior angles,A
"If the measure of a corresponding angle formed by a transversal cutting two parallel lines is 120 degrees, what is the measure of the co-interior angle on the same side of the transversal?",60 degrees,120 degrees,90 degrees,180 degrees,A
Two machines start working together at the same time. The first machine completes a task in 12 hours and the second in 15 hours. After how many hours will both machines complete whole number multiples of the task simultaneously?,60 hours,30 hours,45 hours,20 hours,B
What is the circumference of a circle with a radius of 7 cm? (Use π = 22/7),44 cm,154 cm,14 cm,22 cm,A
"If the diameter of a circle is doubled, by what factor does the area increase?",2,4,8,16,B
What is the length of an arc of 60° in a circle of radius 14 cm? (Use π = 22/7),14.67 cm,8 cm,29.33 cm,7.33 cm,D
The area of a circle is equal to the area of a square with side 14 cm. Find the radius of the circle.,11.18 cm,14 cm,7 cm,22 cm,A
"If the radius of a circle is increased by 50%, what is the percentage increase in its circumference?",50%,75%,100%,25%,A
"A wire is bent into a circle of radius 14 cm. If the same wire is bent into a square, what is the area of the square?",616 cm²,784 cm²,484 cm²,196 cm²,A
"The circumference of a circle is numerically equal to the sum of the lengths of four sides of a square. If the side of the square is 11 cm, find the radius of the circle.",14 cm,7 cm,11 cm,22 cm,B
What is the area of a sector of a circle with radius 10 cm and central angle 90°? (Use π = 3.14),78.5 cm²,31.4 cm²,157 cm²,25 cm²,A
"Three lamps flash at intervals of 12, 15, and 20 seconds respectively. If they flash together at 8:00 AM, at what time will they next flash together?",8:01:00 AM,8:00:60 AM,8:00:30 AM,8:00:20 AM,A
"A gardener wants to plant trees in rows so that each row has the same number of trees and the trees of different types do not mix. If he has 24 mango, 36 guava, and 60 orange trees, what is the maximum number of trees in each row?",12,6,24,18,A
Two bells ring simultaneously and then ring at intervals of 16 and 24 minutes respectively. After how many minutes will they ring together again?,48 minutes,72 minutes,96 minutes,32 minutes,A
"A factory produces two types of products in batches of 40 and 60 units. If the production starts simultaneously, after how many units will the factory produce both products together again?",120 units,180 units,240 units,200 units,A
Which state topped the NITI Aayog’s Export Preparedness Index 2023?,Gujarat,Maharashtra,Tamil Nadu,Karnataka,A
The 'State Energy and Climate Index' released by NITI Aayog assesses states based on what primary factor?,Energy efficiency and climate action,Economic growth rate,Education and literacy levels,Healthcare infrastructure,A
Which report ranks Indian states based on their ease of doing business?,India State Business Reform Action Plan,Economic Freedom Index,Global Competitiveness Report,Human Development Report,A
What is the focus area of the Annual Status of Education Report (ASER) in India?,Quality of school education,Public health progress,Agricultural productivity,Industrial growth,A
Which ministry releases the 'India Innovation Index' that ranks states on innovation capabilities?,Ministry of Commerce and Industry,Ministry of Science and Technology,NITI Aayog,Ministry of Education,C
"In the 'Health Index' released by NITI Aayog, which state was ranked as the best performer in 2022?",Kerala,Himachal Pradesh,Tamil Nadu,Maharashtra,B
The 'Global Hunger Index' assesses levels of hunger and malnutrition. Which Indian state scored best in the latest report?,Kerala,Bihar,Uttar Pradesh,Madhya Pradesh,A
Which organization publishes the 'India Justice Report' that evaluates the state of justice delivery systems?,The Tata Trusts,NITI Aayog,Law Commission of India,Ministry of Law and Justice,A
What does the 'Swachh Survekshan' survey primarily evaluate across Indian cities?,Sanitation and cleanliness levels,Water scarcity issues,Air pollution indices,Traffic management efficiency,A
The 'India Skills Report' is published annually to assess what aspect among Indian youth?,Employability and skill readiness,Cultural knowledge,Sports achievements,Political awareness,A
The World Health Organization (WHO) declared which disease as eradicated globally in 2023?,Polio,Malaria,Smallpox,Guinea Worm Disease,D
Which international organization launched the 'Global Biodiversity Framework' to protect nature and biodiversity by 2030?,United Nations Environment Programme (UNEP),World Bank,United Nations Framework Convention on Climate Change (UNFCCC),Convention on Biological Diversity (CBD),D
"In 2023, which country was appointed as the Chair of the G20 Summit?",India,Italy,Brazil,Japan,A
The International Monetary Fund (IMF) approved a new lending facility in 2023 to support countries facing what kind of crisis?,Debt and economic crises,Climate change impact,Food security,Health pandemics,A
Which organization released the 'World Happiness Report 2023'?,United Nations Sustainable Development Solutions Network (SDSN),World Bank,OECD,International Labour Organization (ILO),A
The United Nations Security Council added which country as a new non-permanent member for the term 2024-2025?,Malta,Norway,Bangladesh,Kenya,C
Which international organization launched the 'Clean Cooking Alliance' to promote clean and efficient cooking solutions globally?,United Nations Development Programme (UNDP),World Health Organization (WHO),World Bank,International Energy Agency (IEA),C
"In 2023, which international organization hosted the COP28 climate summit?",United Nations Framework Convention on Climate Change (UNFCCC),World Meteorological Organization (WMO),International Renewable Energy Agency (IRENA),United Nations Environment Programme (UNEP),A
Which country assumed the Chairmanship of the Commonwealth of Nations in 2023?,Rwanda,India,Australia,Canada,A
Which noun in the following list is an abstract noun?,Bravery,Teacher,Table,Dog,A
Select the uncountable noun from the following:,Rice,Chair,Apple,Car,A
"In a trapezium, the lengths of the parallel sides are 10 cm and 16 cm. What is the length of the median?",13 cm,26 cm,6 cm,8 cm,A
"If the non-parallel sides of an isosceles trapezium are each 7 cm and the height is 4 cm, what is the length of the line segment joining the midpoints of the non-parallel sides?",7 cm,8 cm,4 cm,5 cm,A
The area of a trapezium is 60 cm². Its parallel sides are 8 cm and 12 cm. What is the height of the trapezium?,6 cm,5 cm,4 cm,7 cm,B
"In a trapezium ABCD with AB parallel to DC, if AB = 15 cm, DC = 9 cm, and the height is 8 cm, what is the length of the median?",12 cm,14 cm,24 cm,17 cm,A
Which of the following statements is true about the diagonals of an isosceles trapezium?,The diagonals are equal in length,The diagonals are perpendicular,The diagonals bisect each other,The diagonals are parallel,A
"If a trapezium has parallel sides of lengths 20 cm and 12 cm and a height of 5 cm, what is its area?",80 cm²,60 cm²,50 cm²,40 cm²,B
"In trapezium PQRS, PQ is parallel to SR. If PQ = 18 cm, SR = 10 cm, and the diagonals intersect at point O such that PO : OQ = 3 : 2, what type of trapezium is PQRS?",Isosceles trapezium,Right trapezium,Scalene trapezium,None of the above,B
"The sum of the lengths of the parallel sides of a trapezium is 30 cm, and its area is 112 cm². If the height is 8 cm, what are the lengths of the parallel sides?",10 cm and 20 cm,12 cm and 18 cm,14 cm and 16 cm,8 cm and 22 cm,C
"In a trapezium, the length of one parallel side is twice the other, and the height is 6 cm. If the area of the trapezium is 54 cm², what is the length of the shorter parallel side?",6 cm,9 cm,12 cm,18 cm,B
"If the diagonals of a trapezium intersect at right angles and the trapezium has parallel sides of length 10 cm and 6 cm, what type of trapezium is it?",Right trapezium,Isosceles trapezium,Scalene trapezium,Rhombus,A
Which of the following sentences contains a possessive noun?,The dog's tail is wagging.,The cat sleeps on the mat.,Birds fly in the sky.,The flowers are blooming.,A
Identify the noun that is both singular and collective:,Group,Groups,Children,Teams,A
Choose the correct form of the noun to complete the sentence: 'There are many ______ in the garden.',flower,flowers,flowering,flowered,B
"In the sentence 'The committee has made its decision,' what type of noun is 'committee'?",Proper noun,Collective noun,Abstract noun,Material noun,B
"In the figure, two parallel lines are cut by a transversal forming an angle of 50 degrees with one of the parallel lines. What is the measure of the alternate exterior angle on the opposite side of the transversal?",50 degrees,130 degrees,90 degrees,40 degrees,A
"If a transversal cuts two parallel lines and forms an angle of x degrees with one line, what expression represents the corresponding angle formed on the other parallel line?",x degrees,180 - x degrees,90 - x degrees,x + 90 degrees,A
Two parallel lines are cut by a transversal. The measure of one interior angle is 3 times the measure of its adjacent interior angle on the same side of the transversal. What are the measures of these two angles?,135 degrees and 45 degrees,120 degrees and 60 degrees,90 degrees and 30 degrees,100 degrees and 80 degrees,A
"What is the LCM of 20, 30, and 50 using prime factorization?",150,300,600,900,B
"Determine the LCM of 8, 9, and 21 using prime factorization.",504,378,252,168,A
Calculate the LCM of 14 and 35 by prime factorization.,70,105,140,210,A
What is the LCM of 45 and 60 using prime factorization?,180,240,270,300,A
"Calculate the LCM of 25, 40, and 60 using prime factorization.",200,300,600,1200,C
Determine the LCM of 9 and 15 using prime factorization.,45,60,75,90,A
"What is the LCM of 18, 24, and 30 by prime factorization?",360,720,240,180,A
"Find the LCM of 7, 11, and 13 using prime factorization.",1001,1015,1101,1213,A
Simplify √50 + √18 - √8.,5√2,7√2,6√2,4√2,A
What is the simplified form of (√12 × √75)?,30,15√6,45,60,A
Express √128 in its simplest surd form.,8√2,4√8,16√2,2√32,A
"If √x = 3√2, what is the value of x?",18,9,12,6,A
Simplify the surd expression (2√3 + 3√12 - √27).,5√3,6√3,4√3,3√3,A
Rationalize the denominator of 5 / (√7 + √5).,(5√7 - 5√5) / 2,(5√7 + 5√5) / 2,(5√7 - 5√5) / 12,(5√7 + 5√5) / 12,A
Find the simplified form of (√18 + √50)².,272 + 20√2,272 + 30√2,260 + 60√2,260 + 20√2,A
A train covers a certain distance at a speed of 72 km/h and returns at a speed of 48 km/h. What is the average speed of the train for the whole journey?,57.6 km/h,56 km/h,60 km/h,58.5 km/h,A
"If a person travels a distance of 120 km at an average speed of 40 km/h and another 180 km at an average speed of 60 km/h, what is his average speed for the whole trip?",52 km/h,50 km/h,48 km/h,54 km/h,B
A vessel contains 20 liters of pure milk. 5 liters of milk is taken out and replaced with water. This operation is repeated twice. What is the quantity of milk left in the vessel?,10 liters,12.5 liters,15 liters,16 liters,B
A container has 40 liters of a mixture of milk and water in the ratio 5:3. 8 liters of the mixture is taken out and replaced by water. What is the new ratio of milk to water?,25:39,125:169,125:144,5:7,C
A tank contains 50 liters of pure milk. 10 liters are replaced by water and the mixture is well stirred. Then 10 liters of this mixture is again taken out and replaced by water. What is the ratio of milk to water in the final mixture?,16:9,9:16,25:16,16:25,A
A vessel contains 60 liters of a mixture of milk and water in ratio 7:5. 12 liters of mixture is taken out and replaced with water. What is the quantity of milk left in the vessel?,35 liters,40 liters,42 liters,45 liters,C
A container contains 30 liters of pure milk. 6 liters of mixture is replaced with water three times in succession. What quantity of milk remains in the container?,18.37 liters,19.5 liters,20 liters,21 liters,A
A vessel contains 45 liters of milk. A quantity of 15 liters is taken out and replaced by water. This process is repeated once more. What fraction of milk remains in the vessel?,16/45,25/45,16/25,16/27,D
A 50-liter container is filled with milk. 10 liters of mixture is taken out and replaced with water four times. What is the amount of milk left in the container?,24.3 liters,26 liters,28 liters,30 liters,A
"A vessel contains 80 liters of a mixture of milk and water in the ratio 3:1. If 20 liters of the mixture is replaced by water, what is the ratio of milk to water in the new mixture?",9:7,3:4,9:11,3:5,C
"A container has 100 liters of pure milk. 20 liters of milk is taken out and replaced with water. After stirring, 20 liters of this mixture is again taken out and replaced by water. What is the percentage of milk in the final mixture?",64%,65%,66%,68%,A
Which number is not a whole number?,0,7,-3,15,C
"A vessel contains 25 liters of milk. 5 liters are removed and replaced with water. If this operation is repeated four times, what quantity of milk will remain in the vessel?",13.11 liters,14 liters,15 liters,16 liters,A
Identify the integer from the following options.,3.5,-7,2/3,0.25,B
Which of the following sets contains only whole numbers?,"{0, 1, 2, 3}","{-1, 0, 1, 2}","{1, 2, 3, 4.5}","{-3, -2, -1, 0}",A
"If x is a natural number and x + 5 = 0, what is the value of x?",0,-5,No solution,5,C
Which of the following numbers is both a whole number and an integer?,0,-1,1.5,1/2,A
Which of these is not an integer?,25,-12,0,3.14,D
The smallest natural number is,1,0,-1,None of these,A
Which of the following is a whole number but not a natural number?,0,1,2,3,A
Select the set that represents integers.,"{-3, -2, -1, 0, 1, 2, 3}","{0, 1, 2, 3, 4}","{1, 2, 3, 4, 5}","{0.5, 1.5, 2.5}",A
A transversal intersects two parallel lines and creates a pair of supplementary angles measuring (2x + 10) degrees and (4x - 50) degrees on the same side of the transversal. Find the value of x.,30,25,20,15,A
"If two parallel lines are cut by a transversal and one of the alternate exterior angles is (5x - 15) degrees and the other is (3x + 5) degrees, find the value of x.",10,5,15,20,A
What does NEFT stand for in banking terms?,National Electronic Funds Transfer,National Electronic Fast Transfer,National Electronic Financial Transaction,National Electronic Fund Transaction,A
Which of the following payment methods allows instant 24x7 money transfer in India?,NEFT,RTGS,IMPS,Cheque,C
What is the minimum amount that can be transferred through RTGS?,₹1,"₹2,00,000","₹5,00,000","₹50,000",B
Which system among the following is primarily used for high-value transactions?,IMPS,NEFT,RTGS,UPI,C
Which of the following systems does NOT operate on a real-time basis?,NEFT,IMPS,RTGS,UPI,A
What is the maximum amount that can be transferred using IMPS?,₹2 lakh,₹5 lakh,₹10 lakh,No limit,D
Which of the following is mandatory to initiate a NEFT transaction?,IFSC code of the beneficiary branch,PAN card of beneficiary,Aadhaar number of beneficiary,Mobile number of beneficiary,A
RTGS transactions are settled on which basis?,Batch processing,Real-time gross settlement,Deferred net settlement,End of day processing,B
What is the primary difference between IMPS and NEFT?,"IMPS is instant and available 24x7, NEFT works in batches during bank hours","NEFT is instant and available 24x7, IMPS works in batches","IMPS is only for international transfers, NEFT is domestic","NEFT requires mobile number, IMPS requires IFSC code",A
Which of the following is NOT true about RTGS?,It is used for transferring funds above ₹2 lakh,Transactions are processed in real time,"It is available 24 hours a day, 7 days a week",It requires IFSC code to transact,C
"If 15th August 2020 was a Saturday, what day was 15th August 2015?",Friday,Saturday,Sunday,Thursday,D
"A year contains 365 days. If the year starts on a Wednesday, what day will be on 1st January of the next year?",Wednesday,Thursday,Tuesday,Friday,B
A student scored 72 marks out of 90. What is his percentage score?,75%,80%,85%,90%,B
"The population of a town increases by 12% in a year. If the original population was 50,000, what is the new population?","56,000","55,000","54,000","57,000",A
"A man sold an article at a loss of 10%. If the selling price was ₹270, what was the cost price?",₹300,₹280,₹290,₹310,A
"A school has 800 students. If 40% of them are girls, how many boys are there in the school?",320,480,400,450,B
The price of a commodity decreases from ₹150 to ₹120. What is the percentage decrease?,25%,20%,22%,18%,A
"A shopkeeper gives a discount of 15% on the labeled price. If the labeled price is ₹500, what is the selling price?",₹425,₹435,₹450,₹475,A
"If 30% of a number is 90, what is the number?",250,300,270,280,B
"The salary of a person is increased from ₹12,000 to ₹13,800. What is the percentage increase in salary?",12.5%,15%,10%,11.5%,B
"Three bells ring at intervals of 12, 15 and 20 minutes respectively. If they start ringing together at 8:00 AM, at what time will they ring together next?",8:60 AM,8:30 AM,8:20 AM,8:10 AM,A
"The HCF of two numbers is 12 and their LCM is 180. If one of the numbers is 36, what is the other number?",60,48,54,72,A
"A gardener plans to plant trees in rows such that the number of trees in each row is the same and there are no trees left over. If he has 48 apple trees and 72 orange trees, what is the greatest number of trees he can plant in each row?",12,24,18,15,A
A man has two ropes of lengths 48 meters and 60 meters. He wants to cut them into equal lengths without any rope remaining. What is the maximum length of each piece?,6 meters,12 meters,8 meters,4 meters,B
"Three friends start jogging around a circular park at the same point. They jog at intervals of 8, 10, and 12 minutes respectively. After how many minutes will they meet again at the starting point?",240 minutes,120 minutes,360 minutes,480 minutes,B
"The LCM of two numbers is 780, and one number is 60. If their HCF is 6, what is the other number?",78,65,90,75,A
The difference between two numbers is 8 and their HCF is 4. What is the smallest possible sum of these two numbers?,20,24,16,28,A
"A group of students is to be divided into teams so that each team has the same number of students and no one is left out. If there are 84 boys and 96 girls, what is the greatest number of students that can be in each team?",12,24,18,20,A
"A clock strikes every 15 minutes, a bell rings every 20 minutes, and a siren sounds every 30 minutes. If they all start at the same time, after how many minutes will they sound together again?",60 minutes,90 minutes,120 minutes,45 minutes,A
They have been living here ____ five years.,since,for,from,by,B
The book is ____ the table.,in,on,at,by,B
He didn’t come to the party ____ he was sick.,because,although,unless,if,A
"If I ____ you, I would accept the offer.",am,was,were,be,C
He is the man ____ helped me yesterday.,that,which,who,whom,D
Please fill ____ the form carefully.,in,at,on,up,D
She speaks English better ____ her sister.,than,then,that,when,A
The train will arrive ____ 10 o'clock.,in,at,on,by,B
He has been promoted ____ of his hard work.,because,despite,due to,although,C
What is the main function of the International Court of Justice (ICJ) within the UN?,Settling legal disputes between states,Coordinating humanitarian aid,Overseeing economic development programs,Enforcing UN Security Council resolutions,A
Which UN specialized agency focuses on world health issues?,World Health Organization (WHO),"United Nations Educational, Scientific and Cultural Organization (UNESCO)",International Labour Organization (ILO),Food and Agriculture Organization (FAO),A
The Trusteeship Council of the UN was primarily established to oversee what?,Administration of trust territories,Global disarmament efforts,Coordination of humanitarian relief,Promotion of human rights,A
Which UN organ is considered the main deliberative assembly where all member states have equal representation?,General Assembly,Security Council,International Court of Justice,Secretariat,A
"Complete the figure series: ◇, ◇ with dot inside, ◇, ◇ with dot inside, ?",◇,◇ with two dots inside,◇ with dot inside,◇ with cross inside,A
"Identify the next figure in the sequence: ▲ (pointing up), ► (pointing right), ▼ (pointing down), ◄ (pointing left), ?",▲,►,▼,◄,A
"Find the next figure in the pattern: Circle with one line, Circle with two lines, Circle with three lines, ?",Circle with four lines,Circle with one line,Square with one line,Circle with no lines,A
"What comes next in the series: Square with diagonal, Square with two diagonals, Square with diagonal, Square with two diagonals, ?",Square with diagonal,Square with no diagonal,Circle with diagonal,Square with three diagonals,A
"Complete the figure series: Triangle filled black, Triangle filled white, Triangle filled black, Triangle filled white, ?",Triangle filled black,Triangle filled white,Square filled black,Circle filled black,A
"Identify the next figure in the series of nested shapes: Circle inside square, Circle inside triangle, Circle inside square, Circle inside triangle, ?",Circle inside square,Circle inside triangle,Square inside circle,Triangle inside circle,A
Which country assumed the presidency of the United Nations Security Council in March 2024?,India,France,Brazil,Japan,A
"In 2024, which organization launched the 'Global Cybersecurity Initiative' aimed at enhancing international cyber resilience?",United Nations,World Economic Forum,International Telecommunication Union,NATO,C
Which international organization recently announced a major funding initiative to tackle climate change in developing countries in 2024?,World Bank,International Monetary Fund,United Nations Environment Programme,World Health Organization,A
"In 2024, which country was elected as the chair of the World Trade Organization's General Council?",Kenya,Switzerland,India,Canada,C
Which organization launched the 'Global Vaccine Alliance 2.0' in 2024 to improve vaccination rates worldwide?,Gavi,World Health Organization,UNICEF,Bill & Melinda Gates Foundation,A
"As of 2024, which country holds the rotating presidency of the G20 group of nations?",India,Italy,Brazil,South Africa,A
"In 2024, which international body adopted new regulations to curb plastic pollution in oceans?",United Nations Environment Assembly,International Maritime Organization,World Trade Organization,Global Environment Facility,A
Which international organization announced the launch of a new digital currency pilot program in 2024?,International Monetary Fund,World Bank,Bank for International Settlements,World Economic Forum,C
"In 2024, which country was elected as a non-permanent member of the United Nations Security Council for a two-year term?",Brazil,Norway,South Korea,Mexico,B
"The average weight of 10 students is 50 kg. If one student weighing 60 kg leaves the group, what is the new average weight?",49 kg,48 kg,50.5 kg,51 kg,A
"The average score of 15 students in an exam is 72. If the highest scorer with 90 marks is removed, what is the new average?",70,71,69,68,B
"The average of 20 numbers is 40. If 5 numbers each equal to 30 are added, what is the new average?",37.5,38,39,40,A
"The average age of a group of 30 people is 25 years. When 10 new members join, the average age rises to 27 years. What is the average age of the new members?",30,33,35,40,B
"The average monthly income of a group of 8 people is Rs. 20,000. If a new member joins with an income of Rs. 30,000, the average income increases by Rs. 1,000. What is the average income of the original 8 people?","20,000","21,000","19,000","18,000",A
"The average of 12 numbers is 45. If one number is removed, the average becomes 44. What is the number removed?",57,43,45,46,A
"The average weight of 25 students is 48 kg. If 5 students each weighing 52 kg join the group, what is the new average weight?",49 kg,48.5 kg,50 kg,47.5 kg,B
"The average marks of 50 students in a test is 70. If the marks of the top 5 scorers, each having 90 marks, are excluded, what is the average of the remaining students?",68,67,65,66,D
"The average of 16 numbers is 60. If 4 numbers each are decreased by 5, what is the new average?",57.5,58.75,59,60,C
"The average salary of 40 employees is Rs. 15,000. If 5 employees with an average salary of Rs. 25,000 join, what is the new average salary?","15,625","16,000","16,250","16,500",B
Identify the collective noun in the following sentence: 'A flock of birds flew over the hill.',birds,flock,hill,flew,B
Which noun in the sentence 'She has great courage and determination' is an abstract noun?,She,great,courage,determination,C
Choose the countable noun from the following options.,milk,apple,water,rice,B
Identify the noun that is used incorrectly in the sentence: 'The informations provided were helpful.',informations,provided,were,helpful,A
Which of the following nouns is a material noun?,gold,friend,city,joy,A
What type of noun is 'team' in the sentence 'The team won the match'?,Countable noun,Collective noun,Abstract noun,Material noun,B
Choose the correct plural form of the noun 'child'.,childs,childes,children,childrens,C
